767,2015,Open,1,5374
474,2015,Open,2,5299
590,2015,Open,3,5162
11,2015,Open,4,5084
551,2015,Open,5,4987
238,2015,Open,6,4945
1381,2015,Open,7,4918
133,2015,Open,8,4647
795,2015,Open,9,4628
1462,2015,Open,10,4550
986,2015,Open,11,4535
1300,2015,Open,12,4393
334,2015,Open,13,4378
103,2015,Open,14,4305
478,2015,Open,15,4303
123,2015,Open,16,4297
137,2015,Open,17,4179
2923,2015,Open,18,4109
118,2015,Open,19,4036
42,2015,Open,20,4027
85,2015,Open,21,4017
1725,2015,Open,22,3924
1482,2015,Open,23,3785
1879,2015,Open,24,3629
1699,2015,Open,25,3614
1867,2015,Open,26,3568
1301,2015,Open,27,3418
1731,2015,Open,28,3311
1617,2015,Open,29,3279
192,2015,Open,30,3278
68,2015,Open,31,3217
1782,2015,Open,32,3108
1960,2015,Open,33,3092
14,2015,Open,34,3071
1050,2015,Open,35,3038
1646,2015,Open,36,3030
383,2015,Open,37,3028
218,2015,Open,38,2940
1574,2015,Open,39,2939
617,2015,Open,40,2926
870,2015,Open,41,2921
522,2015,Open,42,2782
1559,2015,Open,43,2706
1832,2015,Open,44,2688
748,2015,Open,45,2613
1507,2015,Open,46,2611
507,2015,Open,47,2598
1859,2015,Open,48,2543
1253,2015,Open,49,2495
214,2015,Open,50,2485
729,2015,Open,51,2473
1286,2015,Open,52,2459
78,2015,Open,53,2448
537,2015,Open,54,2410
448,2015,Open,55,2387
1496,2015,Open,56,2381
405,2015,Open,57,2352
2086,2015,Open,58,2342
338,2015,Open,59,2334
2197,2015,Open,60,2303
3188,2015,Open,61,2282
3842,2015,Open,62,2207
1385,2015,Open,63,2188
2529,2015,Open,64,2176
1610,2015,Open,65,2174
331,2015,Open,66,2129
1523,2015,Open,67,2124
1363,2015,Open,68,2095
3527,2015,Open,69,2081
3218,2015,Open,70,2077
1355,2015,Open,71,2068
1468,2015,Open,72,2060
1505,2015,Open,73,2021
1890,2015,Open,74,1987
465,2015,Open,75,1954
2468,2015,Open,76,1935
580,2015,Open,77,1923
291,2015,Open,78,1902
1653,2015,Open,79,1895
975,2015,Open,80,1887
626,2015,Open,81,1871
29,2015,Open,82,1870
1129,2015,Open,83,1859
1170,2015,Open,84,1842
3341,2015,Open,85,1834
136,2015,Open,86,1833
97,2015,Open,87,1820
1649,2015,Open,87,1820
358,2015,Open,89,1817
1769,2015,Open,90,1808
